state = {
	id = 102
	name = "STATE_102" # Carniola/Krain
	manpower = 500238
	state_category = rural

	provinces = {
		596 665 3654 9596 11612
	}

	resources = {
		wood = 5
		coal = 14
	}

	history = {
		# End of a New Beginning
		owner = AUS
		1857.1.1 = {
			add_core_of = AUS
			buildings = {
				infrastructure = 6
			}
			victory_points = { 596 5 } # Maribor/Marburg
		}

		set_variable = { railway_size = 1 }
        set_variable = { port_size = 0 }
        #Industrial Buildings
        set_variable = { steel_foundry_size = 0 }
        set_variable = { mechanical_works_size = 0 }
        set_variable = { chemical_plant_size = 0 } 
        set_variable = { plastics_plant_size = 0 } 
        set_variable = { composites_manufactory_size = 0 } 
        set_variable = { electronics_factory_size = 0 } 
        set_variable = { battery_plant_size = 0 } 
        set_variable = { tooling_workshop_size = 1 } 

        set_variable = { consumer_goods_factory_size = 1 } 
        set_variable = { textile_mill_size = 0 } 
        set_variable = { appliance_factory_size = 0 }
        set_variable = { vehicle_assembly_plant_size = 0 } 
        set_variable = { computer_fab_facility_size = 0 } 

        set_variable = { synthetic_fiber_plant_size = 0 } 
        set_variable = { synthetic_rubber_refinery_size = 0 }
        set_variable = { synthetic_oil_refinery_size = 0 } 

        # Urban Buildings
        set_variable = { urban_center_size = 0 } 
        set_variable = { power_plant_size = 0 } 
        set_variable = { entertainment_hub_size = 0 } 

        #Agriculture
        set_variable = { crop_farm_size = 0 } 
        set_variable = { rice_paddy_size = 0 } 
        set_variable = { livestock_ranch_size = 0 } 
        set_variable = { cotton_plantation_size = 0 } 
        set_variable = { luxuries_plantation_size = 0 } 
        set_variable = { rubber_plantation_size = 0 }
		
		# set_variable = { building_consumer_goods_factory_size = 2 }
		# set_variable = { building_coal_mine_size = 1 }
		# set_variable = { building_metals_mine_size = 2 }
		# set_variable = { building_lumber_mill_size = 2 }
		# set_variable = { building_industrial_goods_building_size = 2 }
	}
	local_supplies = 0.0
}
